name,team,battingStyle,bowlingStyle,playingRole
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter
Gerhard Erasmus(c),Namibia,Right hand Bat,Right arm Offbreak,Allrounder
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter
Kusal Mendisâ€ ,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter
Dasun Shanaka(c),Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,Legbreak,Allrounder
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter
Aaron Finch(c),Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Regis Chakabvaâ€ ,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Craig Ervine(c),Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Andy Balbirnie(c),Ireland,Right hand Bat,Right arm Offbreak,Batter
Lorcan Tuckerâ€ ,Ireland,Right hand Bat,,Wicketkeeper Batter
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Rahmanullah Gurbazâ€ ,Afghanistan,Right hand Bat,,Wicketkeeper Batter
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter
